"Features of cell nuclei in mouse embryos","Tue 11 Jun 2019 13:13:48","","","","","",""
"from Hadjantonakis lab (https://www.nature.com/articles/ncomms13463), postprocessed in https://www.sciencedirect.com/science/article/pii/S0006349518312578","","","","","","",""
"EmbryoID","CentroidX","CentroidY","CentroidZ","Population","DCGNeighborCount","Nanog-ebLogCor","Gata6-ebLogCor"
3,109.28314,57.06761,55.335,"TE",7.,2.03829234855462,4.45121936858391
3,56.379059999999996,73.45803,54.292,"DP",13.,6.17408453201347,5.91780793823216
3,84.08807,107.16475,56.058,"TE",5.,5.69483029771976,5.71403062568298
3,52.27705999999999,61.292669999999994,53.219,"DP",11.,6.8514010763732,5.76242920201053
3,89.66972,41.51224,60.458,"TE",5.,1.86805516781231,5.27206695994271
3,67.31088999999999,105.09324,60.422,"TE",7.,2.59447042044624,5.68080755015468
3,109.33588,78.26908999999999,61.187,"TE",8.,4.23356736219087,5.2885460710562
3,41.68511,66.21213999999999,60.676,"DP",12.,5.94946214869774,5.9156617640016
3,99.37680999999999,100.62791999999999,64.814,"TE",5.,2.53459126994066,5.2644076624576
3,50.706579999999995,93.60177999999999,65.279,"DP",11.,7.16201217091108,5.38934197737564
3,57.091049999999996,65.21887,66.249,"DP",10.,6.8220550108003,5.58140993805604
3,48.17799,82.6553,64.308,"DP",11.,5.73240125445073,6.08913881496336
3,41.15478,55.81943,66.468,"TE",10.,3.45981793991925,4.80473466411119
3,40.81783,78.15189,66.782,"DP",12.,6.76588006680244,5.31076909536161
3,55.672929999999994,47.542179999999995,68.613,"TE",8.,3.55051022146151,4.9041722415291
3,55.42388,88.70575,75.863,"DP",10.,7.01668651484632,5.62820967487388
3,58.096039999999995,74.8029,69.079,"DP",15.,5.27776217570758,6.24173290904678
3,106.79849999999999,59.73976999999999,72.569,"TE",7.,2.3227961538082,4.7911448239598
3,50.41065,60.897119999999994,72.311,"DP",11.,6.02105004747858,6.29804471551173
3,102.27458,81.49208999999999,75.816,"TE",5.,2.20986261103996,5.09748047454508
3,79.67256,48.23073,78.829,"TE",5.,3.31046700085652,5.17836529385711
3,65.87226,95.20156,79.536,"TE",8.,2.40816572019585,5.1536378900026
3,95.57074,69.03373,81.945,"TE",6.,3.27518817811635,5.76054378759485
3,66.85674,56.988499999999995,85.519,"TE",9.,2.11077603889661,4.57207214855534
3,86.85106,86.70748999999999,83.42,"TE",6.,2.31371373795958,5.33982584287572
3,46.91223,74.42492999999999,83.655,"TE",11.,4.13306380046881,5.02722988009528
3,84.29316999999999,67.00617,87.896,"TE",7.,3.67731305871293,5.37039627924041
3,62.7899,70.93236999999999,89.179,"TE",9.,4.603531317563,5.3533560409704
3,75.15742999999999,77.92334999999999,90.059,"TE",8.,3.55478831095233,5.92043583908921
4,102.42401,82.56739999999999,4.0447,"TE",6.,2.7215270845991,4.73352454244141
4,70.58663,87.06788,3.43,"TE",3.,2.46667811186722,5.22070760099903
4,59.31199,74.47474,4.9346,"TE",7.,2.83136539844528,5.25959783883232
4,59.29148,56.93869,6.0373,"TE",7.,2.2953823638102,5.04601572473951
4,73.24707,69.19488,7.1319,"TE",6.,2.34814223449616,5.24922954910403
4,92.69933999999999,63.54584,8.4648,"TE",6.,2.59375870571259,5.08416331388117
4,76.12725999999999,51.916669999999996,10.078,"TE",6.,2.45379593861141,5.13086136849972
4,60.97916,106.55824,12.714,"TE",4.,2.21668936166571,5.20582430057905
4,97.88543999999999,49.59611,12.67,"TE",6.,2.77144812976073,5.1806015857196
4,109.45600999999999,57.428,14.728,"TE",5.,2.61648337763174,4.64404498143154
4,92.70813,107.41086999999999,12.901,"TE",4.,2.46757111406907,4.73407144368026
4,86.20646,40.363679999999995,15.641,"TE",7.,2.69541333670797,5.19199053756222
4,47.676959999999994,69.148,16.934,"PRE",9.,3.12206683729238,5.93541455649753
4,117.15019,84.00896,15.827,"TE",6.,2.53145725555876,4.89890116416711
4,58.64395,36.800799999999995,17.459,"TE",6.,2.46343824462138,5.41238204509533
4,119.35061999999999,73.84478999999999,17.976,"TE",6.,2.68086706351102,5.21164507265857
4,38.68772,67.16145999999999,19.995,"TE",11.,2.95979272655486,5.52064453333496
4,42.631499999999996,87.12355,19.651,"TE",8.,3.02740885089282,5.42812597930774
4,108.34261,105.04342999999999,20.932,"TE",7.,2.83590351389258,5.12362633698634
4,51.16951999999999,95.77877,24.701,"PRE",8.,2.87532363060512,6.11298333582201
4,43.164759999999994,52.08661,25.459,"PRE",9.,2.97980298319805,6.09048100905498
4,71.45684,119.16017,27.742,"TE",4.,1.75427030411724,4.74391036834401
4,118.74703999999998,99.47057,26.953,"TE",6.,2.74612005897601,5.4423572072957
4,43.57203,79.4909,28.663,"PRE",13.,3.01119180131666,6.1784522411549
4,117.38166,56.59880999999999,28.924,"TE",7.,2.5262663001312,5.05582494788057
4,31.368579999999998,64.13184,30.534,"TE",11.,3.80951593412003,5.25236386239562
4,123.37057999999999,67.36363,30.645,"TE",5.,2.29951095037516,4.88040004095035
4,123.18306,89.19213,30.131,"TE",8.,2.59178079287472,4.84774744383523
4,74.27257,29.56956,35.758,"TE",4.,2.44795097249863,5.57135736312238
4,88.3102,32.22707,35.584,"TE",3.,2.82705467511786,5.35711121499594
4,37.71496,43.10323,36.684,"TE",9.,3.27840055783925,5.33395368218407
4,31.06972,74.29015,38.644,"DP",11.,6.64494622878067,4.58230728417353
4,107.0915,115.93717,37.529,"TE",5.,2.81989043001178,4.79539026680736
4,114.11764,48.887049999999995,40.948,"TE",5.,2.68193458348372,5.42025410531632
4,29.642809999999997,85.43587,37.671,"TE",11.,3.87043984227017,5.49607430627284
4,39.10671,95.85788000000001,39.16,"DP",10.,6.63230249491312,4.74416616466482
4,100.38766,38.13688,38.598,"TE",6.,2.53563600682311,5.21649253132902
4,41.86091,58.409549999999996,39.178,"PRE",12.,3.51156575634008,6.41973443262672
4,48.098879999999994,107.90310999999998,41.89,"TE",8.,2.59611096381661,5.42727256813261
4,35.9218,54.24895,43.683,"DP",10.,6.78313190050119,4.81173072737555
4,29.364459999999998,59.16255999999999,43.168,"DP",9.,4.11031222305995,6.37139967311292
4,124.66271,65.38295,42.975,"TE",7.,2.69104432280718,5.19670914367398
4,49.30018,34.84356,47.693,"TE",7.,2.47279700412992,5.48428962058303
4,41.395039999999995,81.55655,39.091,"PRE",9.,3.4415200424559,6.50665002847976
4,124.45468,93.97389,45.397,"TE",7.,2.56555147731438,4.86125845084435
4,38.678929999999994,68.64111,44.104,"DP",12.,6.17476175884453,4.91626712080066
4,41.468289999999996,73.96785,46.296,"DP",10.,6.08287488616231,4.99995146540633
4,113.79826999999999,110.3145,49.619,"TE",6.,2.60568402632262,4.96203535679888
4,85.03739,123.12446,48.97,"TE",5.,2.10323682519132,5.30095130592374
4,34.73515,81.02622,50.756,"DP",12.,4.52244535256622,5.39121368359821
4,45.43258,93.03335999999999,53.805,"DP",12.,4.61057208325029,5.47230337741287
4,125.33367999999999,74.99334999999999,53.407,"TE",7.,2.36007470627864,4.62443658961256
4,24.940745999999997,75.76686999999998,54.99,"TE",11.,4.31935139867076,5.5135079811154
4,30.094029999999997,67.41929999999999,56.895,"DP",14.,7.07836096826057,4.58756067352207
4,37.97866,93.12125999999999,57.758,"DP",10.,7.06852050845511,4.61457143429913
4,35.458859999999994,46.09769,61.499,"TE",8.,4.1766209965532,5.34628925766891
4,115.06402999999999,54.161049999999996,61.62,"TE",5.,2.46155060927366,4.58808963622378
4,36.8301,100.74511999999999,62.495,"TE",11.,4.78927939939379,5.33785748385878
4,120.20617999999999,101.29302999999999,60.484,"TE",5.,2.46423176866776,4.59867378628978
4,58.53554,116.54660999999999,60.676,"TE",7.,2.12579415231359,5.45008330545513
4,40.63909999999999,60.87954,60.178,"DP",10.,4.89179512450298,6.26192122379507
4,99.60242,43.54859,65.32,"TE",6.,2.8230097202745,4.9648596623049
4,41.38038999999999,77.54538000000001,64.18,"PRE",13.,3.82560065753673,6.23318987652626
4,32.27102,82.51465999999999,64.209,"DP",10.,7.2700073493246,4.49656949880735
4,81.17272,38.198409999999996,68.222,"TE",4.,1.87649848291826,4.93729634341321
4,96.08349,117.73911999999999,67.714,"TE",5.,2.53910694375948,4.84921747240338
4,119.50005,86.33245,70.076,"TE",6.,2.10378969432722,4.71221993384991
4,36.70997,56.14173,70.757,"DP",9.,7.34204088863319,4.50068003659586
4,79.60224,118.38665,71.905,"TE",5.,2.18482504830971,5.3600839804221
4,59.602059999999994,38.277519999999996,73.171,"TE",6.,2.09827971316109,5.49365521318804
4,35.0135,65.96309,69.665,"DP",9.,7.39998166752117,4.29356513555976
4,27.655098,74.48353,71.837,"TE",9.,4.46198761894791,5.16690939285937
4,111.23744999999998,64.82918,75.878,"TE",8.,2.23466450407533,5.00041248147895
4,49.40859,103.98863,75.569,"TE",9.,2.19672886043698,5.31353091562783
4,47.55976,67.79433999999999,83.343,"PRE",12.,3.12718200601294,6.4208849871192
4,43.90019,89.8338,76.954,"DP",11.,4.29048122271463,6.12036577798029
4,34.95197,82.00777,75.701,"DP",10.,7.13763414099128,4.35972644460445
4,106.65199999999999,103.18874,78.832,"TE",5.,2.09158748735099,5.15378512363663
4,30.129189999999998,71.38065999999999,78.308,"TE",6.,4.68623702188328,4.86252160179589
4,60.20857,108.16388,81.228,"TE",5.,1.87669620637948,5.34330371308492
