"Features of cell nuclei in mouse embryos","Tue 11 Jun 2019 13:09:53","","","","","","",""
"from Munoz-Descalzo lab: https://www.biorxiv.org/content/10.1101/159301v1.article-info","","","","","","","",""
"EmbryoID","CentroidX","CentroidY","CentroidZ","Identity","Population","DCGNeighborCount","Nanog-Avg","Gata6-Avg"
4,128.41185771732668,112.58501734480721,38.67679645850685,"ICM+Epi","N+G-",13.,39.591,22.01
4,113.56126612544702,134.42245263304505,41.250907433929825,"ICM+Epi","N+G-",10.,29.071,20.856
4,110.43426280586036,91.34849508850566,42.09491191011557,"ICM+Epi","N+G-",11.,23.947,23.153
4,116.99134274282714,120.47786085648099,41.260148358851566,"ICM+Epi","N-G+",15.,10.7,33.766
4,122.24699028338674,132.67511686642177,43.508773423142074,"TE","N-G+",10.,9.557,26.333
4,120.79936959039678,102.8510785863499,43.27261645291978,"ICM+Epi","N+G+",11.,15.376,37.592
4,112.48089895801856,107.95670846053197,43.15351119837288,"ICM+Epi","N+G+",15.,18.858,27.532
4,101.816284443898,133.9451316431382,44.378447135221556,"ICM+Epi","N-G+",9.,11.4,42.237
4,94.34285347713214,81.79781349581616,45.72967571266735,"TE","N+G+",8.,20.37,36.763
4,103.4314868427267,113.2626426786928,45.03865988240822,"ICM+Epi","N+G-",12.,34.055,20.116
4,128.54021817286278,116.62093678625162,48.91574127179678,"TE","N-G+",11.,10.393,26.139
4,105.90955674821443,123.13722065739051,48.98556159342772,"ICM+Epi","N-G+",11.,11.023,39.919
4,116.42085182933357,92.02185862783853,51.65516212637536,"ICM+Epi","N+G-",11.,38.158,21.113
4,75.44890753586674,88.96615193352422,54.0280262923915,"TE","N-G+",6.,11.649,28.375
4,103.77378139082285,84.48274406404212,54.456189147098875,"TE","N+G+",10.,12.453,27.967
4,107.7172998303472,100.76279925550749,52.46425644174565,"ICM+Epi","N+G-",14.,18.505,20.748
4,69.83670317437368,118.1125648797105,52.875990985481025,"TE","N-G-",7.,9.0315,16.402
4,97.62674179792954,119.40815042374334,52.43139981980167,"ICM+Epi","N+G+",15.,12.176,36.131
4,85.63217034172709,129.1378273876479,55.02912649224687,"TE","N-G+",8.,10.724,30.505
4,118.17867695653565,105.38258455067724,53.16451319692652,"ICM+Epi","N-G+",11.,10.602,40.555
4,100.49702420644411,132.79018531934577,55.56407336827215,"TE","N-G+",12.,9.5264,29.427
4,118.74916787002924,119.28455838171388,59.19575686251668,"TE","N-G+",9.,10.841,25.137
4,109.02942893138243,115.94331145236603,62.53583783700847,"ICM+Epi","N+G-",12.,26.818,21.086
4,89.26904991524864,120.16674985413098,65.24137530020732,"TE","N+G+",8.,13.022,30.173
4,87.98901092809741,101.4532099730513,66.45296323439125,"TE","N-G+",10.,10.429,29.107
4,100.63964693481749,103.7545790315307,66.68706666574205,"TE","N+G+",8.,18.541,33.223
4,110.8371720135152,98.83646811766917,66.07511208203559,"TE","N+G+",8.,12.932,27.858
4,117.14109660761922,111.75822920157572,67.48794682562632,"TE","N+G+",9.,12.663,28.67
5,88.01377929850912,104.21858576730163,9.066795009227228,"TE","N+G+",3.,30.003,45.363
5,96.81205350473167,128.79783540502996,10.14493188566493,"TE","N+G+",4.,14.318,36.701
5,111.89845246455263,104.79148557088779,10.395115999628075,"TE","N+G+",5.,21.012,40.113
5,73.81267252589814,89.06446193050672,20.01733235751783,"TE","N-G+",3.,11.504,32.619
5,118.47074508071228,128.65461045413343,22.560886298662233,"TE","N+G+",7.,18.071,39.761
5,76.26453113491999,131.49138851382614,23.55365097467012,"TE","N-G+",3.,10.181,28.912
5,112.35749285792076,82.693261695464,26.79427217665293,"TE","N+G+",8.,13.778,34.872
5,124.19417728691334,104.14928337170655,28.153182554829932,"TE","N+G+",9.,15.896,35.476
5,63.82307920355351,117.90811897718677,30.442751882317786,"TE","N+G+",2.,13.534,34.321
5,89.4564776776661,70.49141991102029,34.355412664231245,"TE","N+G+",6.,15.041,37.537
5,121.72410278926577,88.75491123018196,36.67927918407418,"ICM+Epi","N+G+",9.,39.596,33.692
5,112.1279726612367,140.93499495358492,40.26750706533146,"TE","N+G+",6.,20.312,33.616
5,66.39151949977997,81.06234531912601,38.506299890340806,"TE","N-G+",3.,11.734,31.444
5,122.47459740064542,119.8901674912066,40.209109143213354,"ICM+Epi","N+G+",8.,62.415,32.938
5,106.6012720521934,72.78301912536489,42.4402805485831,"TE","N-G+",8.,11.552,31.906
5,75.83099298562786,142.2378799907728,45.58542578265852,"TE","N+G+",2.,12.529,30.602
5,126.50395196465462,105.71551751215576,43.47475802610392,"ICM+Epi","N+G+",9.,69.146,29.783
5,110.89657859013806,112.45171036399935,44.54631354941402,"ICM+Epi","N+G+",17.,26.557,36.38
5,123.67684604994292,95.49110408202554,44.635300859308295,"ICM+Epi","N+G+",10.,46.857,28.239
5,129.7063051850561,120.41686569772935,47.912073155935644,"TE","N+G+",11.,13.467,29.422
5,114.65998118021173,87.05931261795521,47.63120695908187,"ICM+Epi","N+G+",9.,39.403,27.969
5,117.93155477739097,73.88723729518013,50.227597115476,"TE","N+G+",11.,12.816,29.561
5,107.98203641002291,84.93403915303884,53.04182079088212,"ICM+Epi","N+G+",13.,14.629,39.802
5,112.77645829631231,139.80767598523798,52.76651630089674,"TE","N+G+",7.,12.961,30.958
5,117.91698206649039,101.03529572963345,54.751118701767794,"ICM+Epi","N+G+",13.,26.333,27.806
5,119.18480791484046,127.55963260373088,53.130808100776385,"ICM+Epi","N+G+",9.,35.57,31.306
5,77.65986820365009,73.58692691426802,55.20532476268644,"TE","N-G+",7.,10.787,27.587
5,133.92510499077278,97.63023802606092,55.811550811341114,"ICM+Epi","N+G+",12.,31.707,26.325
5,61.89219500922724,108.78792371687182,58.674902897418036,"TE","N+G+",4.,17.104,28.86
5,92.26901088147721,70.20497000922724,59.10593517971837,"TE","N-G+",9.,11.075,27.476
5,111.08238065412039,110.37725865585276,59.27371333691486,"ICM+Epi","N+G+",13.,43.135,30.507
5,133.85588461399504,114.71096846039958,61.713448749849285,"ICM+Epi","N+G+",10.,21.839,28.387
5,125.77895959735096,115.8475277481592,58.464484987563885,"ICM+Epi","N+G+",15.,40.517,36.134
5,125.7425278200995,77.41703931082381,62.761830494541094,"TE","N-G+",11.,11.49,24.734
5,122.59117908785004,86.61577728614657,60.04864449391074,"ICM+Epi","N+G+",11.,40.318,24.553
5,117.07176483425701,122.37119325351117,61.33710658508812,"TE","N+G+",7.,34.623,33.024
5,101.20208266353009,84.27797647473857,64.03360746511329,"ICM+Epi","N+G+",11.,51.246,24.696
5,122.40173384614255,99.5707051027237,64.85766703277997,"ICM+Epi","N+G+",13.,27.507,29.737
5,110.78364008065859,75.22246345031236,64.98744019304245,"ICM+Epi","N+G+",10.,17.025,32.375
5,102.03637036258806,98.49420789114647,67.53655584105523,"ICM+Epi","N+G-",14.,15.373,23.885
5,107.98567958774805,127.47646972901677,67.00170503054491,"ICM+Epi","N+G+",11.,19.305,26.289
5,72.9383098718636,87.78929785155691,67.43181036170053,"TE","N+G+",5.,12.494,29.648
5,102.72493095264025,139.71989295081752,70.00502673947635,"TE","N+G+",6.,17.452,24.643
5,100.31314729859497,70.91647460400357,71.74954879386183,"TE","N-G-",8.,10.304,23.173
5,112.9659035380198,87.61373178271599,67.8025908195933,"ICM+Epi","N+G+",13.,23.736,26.861
5,124.33990439591912,128.99188211269623,71.39174565199532,"TE","N-G+",12.,10.631,24.162
5,112.87482409489121,103.38695702016044,68.43013674457681,"ICM+Epi","N+G+",11.,32.515,26.131
5,127.69891425850179,94.0265134551158,71.66612319083596,"ICM+Epi","N+G-",9.,48.342,20.015
5,83.1355643245414,135.85743943631735,69.07158693673131,"TE","N+G+",6.,16.884,24.827
5,87.5984570378427,84.93403915303884,74.15406006329644,"TE","N+G+",10.,13.864,25.115
5,75.70348176524783,104.2740276837777,74.4256567487029,"TE","N-G+",7.,11.333,25.206
5,116.04803189349155,119.1139806605415,71.67631965342802,"ICM+Epi","N+G+",12.,21.636,30
5,95.39121419192554,107.55434107527905,74.2106040831251,"ICM+Epi","N+G+",10.,22.582,25.283
5,97.32938474170211,119.91788844944466,75.13013961869918,"ICM+Epi","N+G+",10.,35.187,29.371
5,107.57764368253194,105.67855623450507,76.63828913117801,"ICM+Epi","N+G+",11.,17.06,29.731
5,84.03907240037711,116.79004032825253,77.21392579205653,"ICM+Epi","N+G+",7.,21.789,29.402
5,120.45263376319056,98.56813044644792,76.32497964425862,"TE","N+G+",9.,12.497,30.198
5,118.15014544089959,115.32082954163647,77.70150209418553,"ICM+Epi","N+G+",11.,44.238,24.463
5,106.28067241238071,123.28598487536647,79.93730825527894,"TE","N+G+",12.,16.382,28.033
5,126.53674056418089,100.88745061903056,80.52499528103897,"TE","N+G+",10.,19.025,24.772
5,109.35187123467702,83.88988305940603,80.0958169010281,"TE","N-G+",12.,11.622,24.148
5,93.77728645968679,97.95826936521105,80.1393836048305,"TE","N-G-",11.,10.791,23.845
5,109.2644349692736,102.25963805181351,81.09970499077278,"TE","N+G+",11.,23.088,29.089
6,87.03902400772228,120.97397081913466,10.0490643110697,"TE","N+G+",0.,26.681,77.128
6,107.75782399804673,89.627815452201,11.38252026501585,"TE","N+G+",1.,48.399,85.568
6,105.88192071813879,81.45459059271666,28.3779102706351,"TE","N+G+",7.,20.11,57.512
6,133.56142534943928,87.95125650666576,32.36078681209,"ICM+Epi","N+G+",5.,24.094,82.633
6,77.78309653015297,95.77748863357006,34.827062986170965,"TE","N+G+",3.,18.963,68.647
6,140.88406897618583,120.26967863914547,36.29736279958844,"ICM+Epi","N+G+",2.,56.24,70.769
6,106.42482919679448,137.4715856889303,33.06969973822341,"TE","N-G-",0.,7.5831,17.553
6,120.7523163652208,89.32204957893741,44.486387442688304,"ICM+Epi","N+G+",10.,31.577,47.887
6,89.08706900037473,88.92695884382151,45.43091874340016,"ICM+Epi","N+G+",10.,82.441,49.055
6,140.31467715710792,97.29944685666867,44.06968245708014,"TE","N+G+",7.,20.234,58.437
6,114.11823958945223,76.77877763191036,50.84191014911221,"ICM+Epi","N+G+",10.,35.211,48.802
6,82.6472033877025,121.72292543005001,52.088938402339636,"TE","N+G+",4.,19.627,70.492
6,104.22671194174943,88.74830912011694,50.75136684359735,"ICM+Epi","N+G+",10.,40.505,52.786
6,134.51923949470995,107.63708183026614,52.51696130113716,"ICM+Epi","N+G+",8.,18.285,53.774
6,108.05355463276162,67.9837143110697,54.48730709728445,"TE","N+G+",8.,23.411,43.21
6,86.275421025548,102.80323257541347,52.34307699850067,"ICM+Epi","N+G+",8.,33.245,70.715
